Dates;Open;Close;High;Low;Value;Volume
8/3/18 19:10;156,25;156,27;156,4;156,21;7959092,5;50923
8/3/18 19:20;156,28;155,47;156,3;155,46;25825154;165788
8/3/18 19:30;155,47;155,4;155,5;155,25;35235908;226750
8/3/18 19:40;155,36;155,125;155,43;155,07;22406858;144364
8/3/18 19:50;155,14;155,19;155,28;155,07;19857632;127967
8/3/18 20:00;155,195;155,19;155,23;155,09;14654114;94454
8/3/18 20:10;155,2;155,715;155,73;155,19;12874147;82801
8/3/18 20:20;155,72;155,682;155,8;155,53;11427961;73417
8/3/18 20:30;155,675;155,69;155,71;155,43;9420734;60550
8/3/18 20:40;155,7;155,866;155,988;155,62;14690003;94269
8/3/18 20:50;155,86;156,06;156,104;155,84;13249845;84941
8/3/18 21:00;156,08;156,22;156,35;156,08;14177784;90759
8/3/18 21:10;156,228;156,17;156,27;156,021;12596231;80685
8/3/18 21:20;156,18;156,21;156,27;155,975;17236188;110414
8/3/18 21:30;156,23;156,14;156,37;156,03;21020542;134551
8/3/18 21:40;156,12;155,8;156,183;155,7;28119166;180393
8/3/18 21:50;155,81;156,25;156,25;155,78;62356236;399693
8/3/18 22:00;156,21;156,21;156,21;156,21;110748680;708973
8/3/18 22:10;156,21;156,21;156,21;156,21;0;0
9/3/18 15:30;157,47;157,96;158,19;157,3;41813644;265062
9/3/18 15:40;157,94;158,25;158,28;157,66;20048614;126954
9/3/18 15:50;158,27;158,54;158,62;158,26;23379104;147519
9/3/18 16:00;158,55;158,17;158,72;158,01;15243300;96247
9/3/18 16:10;158,19;158,51;158,54;158,08;13665299;86328
9/3/18 16:20;158,51;158,525;158,651;158,395;10954818;69102
9/3/18 16:30;158,53;158,52;158,72;158,461;14390579;90736
9/3/18 16:40;158,54;158,43;158,73;158,36;17787254;112160
9/3/18 16:50;158,41;158,305;158,6;158,275;9324813;58855
9/3/18 17:00;158,31;158,02;158,37;157,98;12536631;79274
9/3/18 17:10;158,01;157,97;158,16;157,88;17265408;109276
9/3/18 17:20;157,97;158,16;158,28;157,91;12408944;78480
9/3/18 17:30;158,18;158,13;158,3;158,04;11887089;75172
9/3/18 17:40;158,15;158,1;158,2;158,04;5851245,5;37004
9/3/18 17:50;158,115;158,05;158,14;157,95;5879845,5;37206
9/3/18 18:00;158,06;158,42;158,452;158,06;8879823;56084
9/3/18 18:10;158,42;158,475;158,53;158,385;6884366,5;43442
9/3/18 18:20;158,475;158,475;158,53;158,39;5143138,5;32456
9/3/18 18:30;158,475;158,762;158,94;158,475;12998050;81860
9/3/18 18:40;158,76;158,58;158,82;158,501;7326659;46163
9/3/18 18:50;158,59;158,45;158,59;158,4;7638769;48198
9/3/18 19:00;158,46;158,68;158,8;158,46;8302052,5;52320
9/3/18 19:10;158,681;158,85;158,93;158,681;6239811,5;39291
9/3/18 19:20;158,83;158,91;158,94;158,79;5581469;35131
9/3/18 19:30;158,91;159,01;159,03;158,86;11217536;70571
9/3/18 19:40;159,018;158,94;159,17;158,94;9552182;60054
9/3/18 19:50;158,9;159,23;159,23;158,9;13271016;83446
9/3/18 20:00;159,234;159,33;159,41;159,234;12454644;78169
9/3/18 20:10;159,337;159,36;159,54;159,32;17885698;112185
9/3/18 20:20;159,34;159,45;159,48;159,255;11763761;73823
9/3/18 20:30;159,46;159,28;159,48;159,28;11954185;74992
9/3/18 20:40;159,275;159,3;159,335;159,216;8012660,5;50306
9/3/18 20:50;159,3;159,38;159,384;159,25;8328486;52273
9/3/18 21:00;159,38;159,38;159,583;159,36;13832283;86750
9/3/18 21:10;159,38;159,24;159,407;159,18;17738988;111361
9/3/18 21:20;159,256;159,29;159,33;159,16;16610079;104302
9/3/18 21:30;159,3;159,23;159,36;159,2;17309328;108674
9/3/18 21:40;159,24;158,86;159,32;158,81;36225580;227751
9/3/18 21:50;158,86;159,32;159,35;158,86;69764200;438337
9/3/18 22:00;159,31;159,31;159,31;159,31;78471168;492569
9/3/18 22:10;159,31;159,31;159,31;159,31;0;0
12/3/18 14:30;159,64;159,7;160;158,87;50677268;317498
12/3/18 14:40;159,68;160,97;160,99;159,61;41928792;261662
12/3/18 14:50;160,98;160,91;161,02;160,56;30844684;191795
12/3/18 15:00;160,9;160,62;160,92;160,42;22506092;140092
12/3/18 15:10;160,64;160,3;160,66;160,14;24740828;154309
12/3/18 15:20;160,299;160,51;160,52;160,24;22755322;141873
12/3/18 15:30;160,48;160,25;160,59;160,24;22451126;139968
12/3/18 15:40;160,25;160,31;160,4;159,72;16611351;103776
12/3/18 15:50;160,303;159,985;160,33;159,8;14318322;89478
12/3/18 16:00;159,93;159,652;160,09;159,65;11642483;72811
12/3/18 16:10;159,64;159,58;159,74;159,34;12683239;79484
12/3/18 16:20;159,58;159,77;159,84;159,5;13972088;87504
12/3/18 16:30;159,8;160,02;160,21;159,785;15791667;98687
12/3/18 16:40;160,02;159,87;160,13;159,81;9304113;58156
12/3/18 16:50;159,84;159,98;160,14;159,76;11396071;71241
12/3/18 17:00;160,01;160,06;160,1;159,894;7686034;48042
12/3/18 17:10;160,04;160,18;160,25;159,88;10143752;63371
12/3/18 17:20;160,16;160,117;160,26;160,105;8334733;52033
12/3/18 17:30;160,12;159,74;160,19;159,73;10552633;65989
12/3/18 17:40;159,75;160,066;160,12;159,75;6930572,5;43321
12/3/18 17:50;160,06;160,1;160,23;160,03;6703118;41864
12/3/18 18:00;160,12;160,255;160,34;160,12;10057435;62759
12/3/18 18:10;160,25;160,43;160,53;160,21;26526058;165352
12/3/18 18:20;160,42;160,42;160,55;160,37;9437559;58817
12/3/18 18:30;160,43;160,56;160,56;160,35;9758352;60824
12/3/18 18:40;160,57;160,65;160,72;160,48;15675330;97613
12/3/18 18:50;160,66;160,508;160,71;160,48;13230910;82401
12/3/18 19:00;160,497;160,6;160,68;160,497;8774161;54633
12/3/18 19:10;160,59;160,351;160,59;160,24;11248712;70135
12/3/18 19:20;160,36;160,36;160,45;160,25;9174730;57213
12/3/18 19:30;160,36;160,44;160,44;160,32;12258217;76435
12/3/18 19:40;160,43;160,14;160,46;160,08;9168334;57219
12/3/18 19:50;160,144;160,02;160,2;159,97;6459997;40351
12/3/18 20:00;160,01;160,2;160,23;160;8909904;55658
12/3/18 20:10;160,19;160,35;160,39;160,17;16462580;102688
12/3/18 20:20;160,35;160,36;160,4;160,28;10465702;65268
12/3/18 20:30;160,35;160,55;160,59;160,32;13434435;83708
12/3/18 20:40;160,56;160,84;160,9;160,56;22677542;141057
12/3/18 20:50;160,83;160,27;160,852;160,26;56677144;352970
12/3/18 21:00;160,26;160,26;160,26;160,26;57706740;360082
12/3/18 21:10;160,26;160,26;160,26;160,26;0;0
13/3/18 14:30;160,09;160,87;160,88;160,09;39101584;243938
13/3/18 14:40;160,83;161,245;161,3;160,64;16025794;99524
13/3/18 14:50;161,25;161,37;161,51;161,23;15022104;93065
13/3/18 15:00;161,37;161,71;161,84;161,29;26328348;162916
13/3/18 15:10;161,73;161,83;161,85;161,435;12037053;74456
13/3/18 15:20;161,83;161,91;162,03;161,79;22703088;140187
13/3/18 15:30;161,92;161,721;162,112;161,68;29777806;183854
13/3/18 15:40;161,74;161,97;161,99;161,6;13687729;84600
13/3/18 15:50;161,97;161,73;162,03;161,7;11605038;71686
13/3/18 16:00;161,72;161,34;161,8;161,26;19423878;120248
13/3/18 16:10;161,37;160,86;161,4;160,75;16718877;103774
13/3/18 16:20;160,86;160,68;160,95;160,43;10934809;68086
13/3/18 16:30;160,71;160,62;160,9;160,529;11082229;68966
13/3/18 16:40;160,62;160,74;160,74;160,445;7929888,5;49373
13/3/18 16:50;160,72;160,33;160,75;160,33;9137844;56916
13/3/18 17:00;160,35;159,73;160,42;159,461;14557206;91062
13/3/18 17:10;159,745;159,96;160,11;159,67;8623288;53927
13/3/18 17:20;159,98;159,71;160,06;159,63;6932338,5;43380
13/3/18 17:30;159,75;159,85;159,97;159,71;7469265;46728
13/3/18 17:40;159,87;160,09;160,16;159,76;5353194,5;33471
13/3/18 17:50;160,11;160,06;160,32;160,03;6198744,5;38692
13/3/18 18:00;160,09;160,05;160,23;160,02;4308718;26910
13/3/18 18:10;160,06;160,12;160,24;159,98;11109604;69394
13/3/18 18:20;160,14;159,99;160,16;159,831;4000983;25010
13/3/18 18:30;160;160,11;160,15;159,945;5118905,5;31985
13/3/18 18:40;160,12;159,91;160,24;159,89;4607748;28788
13/3/18 18:50;159,88;159,65;159,92;159,62;5844813,5;36573
13/3/18 19:00;159,67;159,82;159,96;159,67;12012120;75127
13/3/18 19:10;159,83;159,86;159,89;159,61;4868830;30481
13/3/18 19:20;159,86;159,735;159,889;159,69;7104581,5;44467
13/3/18 19:30;159,79;159,81;160,07;159,7;8597756;53785
13/3/18 19:40;159,81;159,57;159,83;159,54;7079999,5;44340
13/3/18 19:50;159,57;159,63;159,671;159,435;6497753;40730
13/3/18 20:00;159,65;159,46;159,8;159,299;12568328;78806
13/3/18 20:10;159,49;159,34;159,605;159,26;9964114;62506
13/3/18 20:20;159,356;159,36;159,44;159,14;9297992;58372
13/3/18 20:30;159,35;159,02;159,52;159;21406058;134444
13/3/18 20:40;159,02;159,04;159,13;158,81;20695008;130157
13/3/18 20:50;159,04;159,3;159,51;159,04;38304132;240359
13/3/18 21:00;159,32;159,32;159,32;159,32;45710344;286909
13/3/18 21:10;159,32;159,32;159,32;159,32;0;0
14/3/18 14:30;160,17;160,05;160,68;159,98;20600540;128550
14/3/18 14:40;160,05;160,06;160,2;159,95;7560700,5;47230
14/3/18 14:50;160,07;160,295;160,32;160,02;10047076;62745
14/3/18 15:00;160,28;160,12;160,41;160,11;5591258,5;34887
14/3/18 15:10;160,14;159,62;160,15;159,62;11043090;69078
14/3/18 15:20;159,64;159,64;159,87;159,57;7098484;44442
14/3/18 15:30;159,63;159,31;159,665;159,12;8519892;53464
14/3/18 15:40;159,28;159,28;159,4;159,1;7389169,5;46407
14/3/18 15:50;159,29;159,26;159,35;159,2;6036256,5;37903
14/3/18 16:00;159,28;159,11;159,35;158,93;5996192,5;37691
14/3/18 16:10;159,06;159,13;159,222;159,02;5789475,5;36387
14/3/18 16:20;159,13;159,42;159,469;159,11;11503483;72206
14/3/18 16:30;159,42;158,62;159,47;158,4;15021706;94542
14/3/18 16:40;158,6;158,6;158,85;158,33;9836311;61991
14/3/18 16:50;158,63;158,8;158,98;158,63;7082386,5;44589
14/3/18 17:00;158,82;158,37;158,91;158,37;7236338,5;45603
14/3/18 17:10;158,4;158,67;158,71;158,27;8721847;55022
14/3/18 17:20;158,65;158,49;158,877;158,4;8119080;51210
14/3/18 17:30;158,52;158,58;158,71;158,43;7598083,5;47915
